Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
3.525127417,0.817148924,9.374481201,-2.954537868
3.535152677,2.368296146,10.34177971,-3.777668715
3.545178042,2.042872429,10.46142101,-3.916452408
3.55520398,0.687936485,10.47099209,-2.752942562
3.565229292,-0.777667344,10.40399265,-3.327818155
3.575254917,-1.821536183,10.4279213,-4.663611412
3.585280594,-2.032104731,10.31306553,-4.065405846
3.595306323,-1.596012712,9.929615974,-4.108476639
3.605332052,-1.05523479,9.982257843,-5.166702271
3.61535773,-0.710668325,10.37049294,-4.371686935
3.625383198,-0.604785919,10.37049294,-3.859024763
3.635408198,-0.595214605,10.48056316,-3.351746321
3.645432834,-0.580857694,10.78684425,-3.026322365
3.655457209,-0.671784937,11.08355427,-3.136392355
3.665482365,-0.763310432,11.64407349,-3.174677372
3.675506532,-0.600000262,13.14257813,-4.113262177
3.685531375,0.017347964,14.55972767,-6.914061069
3.69555575,1.113858938,14.90010643,-5.00339222
3.705580698,2.526222467,14.65065479,-5.434698582
3.715606271,4.044468403,14.65544033,-5.697908878
3.725632261,4.642673969,13.74616814,-3.538386583
3.735658042,4.264608383,13.04207993,-4.04147768
3.745683823,3.134597778,13.00379467,-4.175475597
3.755709396,2.09072876,12.09870911,-3.241676569
3.765734865,2.330011129,11.04526901,-4.419543266
3.775760542,2.766103029,10.11625576,-5.444269657
3.785786011,2.349153519,9.293125153,-5.683551788
3.795810386,1.727019787,8.775676727,-5.075775146
3.805835438,0.726221681,8.756534576,-1.6181463
3.815860438,-1.955534339,8.756534576,1.91066885
3.825885646,-6.39900589,8.134400368,-0.220139682
3.83591075,-11.51725388,7.889734268,-4.500899315
3.845936532,-15.49173164,8.512466431,-6.789634228
3.855962417,-15.92244053,9.135198593,-5.764907837
3.865988302,-11.62253761,8.445467949,-2.901895761
3.876012573,-5.120042324,6.961319447,-1.819741607
3.886038355,0.141774744,5.586642742,-0.521635354
3.89606299,1.013360381,4.844867706,0.468993247
3.906087365,-1.241874933,4.883152962,-0.090927258
3.916112625,-3.171686411,5.299503803,-0.91465646
3.926138511,-3.54018116,5.572285652,-0.905085146
3.936163875,-2.91266346,5.486144066,-0.646660328
3.946189552,-2.496312141,5.237290382,-1.067797065
3.956214917,-2.625524759,5.09372139,-1.436291814
3.966240646,-3.195614576,5.127220631,-1.5224334
3.976266063,-3.961317778,5.428716183,-1.082154036
3.98629174,-4.698905468,5.88395071,-1.24965167
3.996317105,-5.455635548,6.606583118,-1.57028985
4.006342261,-6.317649841,7.329813957,-1.57028985
4.016367365,-7.384849072,7.382455826,-1.886740685
4.026392105,-8.395217896,6.999604225,-2.370090723
4.036417417,-8.764310837,6.754938126,-2.025524378
4.046442625,-8.428717613,6.802794933,-1.2352947
4.056467625,-7.600800991,7.19581604,-0.948155999
4.066492365,-6.580860615,7.741379261,-0.967298567
4.076516792,-5.417350292,8.292326927,-0.852443039
4.086541688,-4.047459602,8.555537224,-0.81894356
4.096566948,-2.391027927,8.871390343,-1.18743825
4.106592365,-0.839880764,9.73340416,-1.579861164
4.116618146,-0.269790739,10.78684425,-2.188236237
4.126643302,-1.280160069,11.59143066,-2.983251572
4.136668875,-3.698107481,12.43848991,-3.524029493
4.146694605,-6.700501442,13.42014599,-3.62452817
4.15672075,-9.061020851,13.31007576,-3.165106058
4.166746584,-10.19103146,12.69272804,-2.719442844
4.176771323,-9.659226418,11.49093246,-3.145963669
4.186796323,-7.442874908,10.0779705,-3.050250769
4.196821167,-4.579264164,9.422337532,-2.130808592
4.206846115,-2.252244234,10.1210413,-2.585444927
4.216870594,-0.753739119,11.08355427,-4.52482748
4.226895542,0.127417803,10.75813103,-5.051846981
4.236921063,-0.078364938,10.04925728,-3.835096598
4.246946063,-1.155733347,9.872187614,-2.417947292
4.256970438,-2.324028969,9.565906525,-1.599003673
4.266995698,-3.396611691,8.82831955,-1.589432478
4.277021115,-4.05224514,8.541180611,-1.656431437
4.287045855,-4.493122578,8.565108299,-1.077368379
4.297071271,-5.4652071,8.301898003,-1.287936807
4.307096219,-6.058627129,11.05962658,-5.444269657
4.317121532,-2.14696002,24.06461716,-14.02433395
4.32714674,14.81276894,25.39562416,-0.708873689
4.337172521,18.32722664,11.27498055,14.32164192
4.347197625,9.732806206,4.844867706,-4.405186653
4.357222782,2.248655081,6.774080753,-7.642077446
4.367247521,-6.810571671,11.51964664,-5.204987526
4.377272469,-12.86740398,11.20798111,1.436291814
4.387298042,-13.97827148,9.302696228,1.240080357
4.397323511,-9.966106415,8.938388824,0.459421933
4.407349292,-3.477967739,9.116056442,-1.18743825
4.417375177,0.146560386,8.790034294,-5.114060402
4.427401011,-0.317647219,8.794819832,-8.182855606
4.437426844,-2.76909399,9.848259926,-8.480163574
4.447453042,-3.152543783,10.68156052,-3.49531579
4.457478719,0.213559419,10.36092186,-0.315852582
4.467504657,3.75673151,8.9479599,-3.002394199
4.477530334,4.336392879,8.321041107,-6.152545452
4.487556532,2.47358036,8.866603851,-6.196214199
4.497582938,0.022133609,9.465408325,-5.597410202
4.507608563,-2.06560421,9.881759644,-5.693123341
4.517634448,-3.147758245,9.757332802,-5.477769375
4.527660386,-2.855235577,9.407979965,-4.66839695
4.537686532,-1.710868239,9.446265221,-3.648456335
4.547712886,-0.456430912,9.565906525,-3.519243956
4.557739032,0.237487644,9.661619186,-4.405186653
4.56776424,0.256630242,9.943972588,-4.453042984
4.577789605,-0.207577363,10.16411209,-3.337389469
4.587814761,-0.768096089,9.987043381,-2.978466034
4.597840282,-0.720239639,9.580264091,-3.662813187
4.607865855,0.046061836,9.278767586,-4.520041943
4.617892261,0.946361363,9.139984131,-4.926821709
4.627919292,1.520638824,9.062815666,-4.907679081
4.637945907,1.932802439,8.938388824,-4.701896667
4.647972052,1.999801517,9.038887978,-4.438685894
4.657998355,1.424925923,9.360123634,-4.060619831
4.668024448,0.314057976,9.508479118,-3.61017108
4.678049396,-0.964307547,9.072386742,-3.241676569
4.688075334,-2.620738983,7.789236069,-5.200201988
4.698101219,-3.836891174,10.73420238,-5.712265968
4.708127209,-4.091128349,10.92562866,-1.527219057
4.718153511,-2.678166628,8.79960537,-1.670788407
